Time (EST),RA (Deg),Dec (Deg),Az (Deg),Alt (Deg),Distance (Km),Eclipse %
2025-01-02 15:08:00-05:00,124.76758673443862,0.43577900713999795,89.63687916609389,9.623229368989058,40843.00457464815,0%
2025-01-02 15:09:00-05:00,125.01632134634997,0.4337346272132152,89.63945860142668,9.625188819334124,40842.79547540293,0%
2025-01-02 15:10:00-05:00,125.26505582456447,0.43168204673324995,89.64204488758607,9.627148395025557,40842.586366213036,0%
2025-01-02 15:11:00-05:00,125.5137901691015,0.42962130437312507,89.6446379759363,9.629108095312699,40842.37724715002,0%
2025-01-02 15:12:00-05:00,125.76252438041342,0.427552438956343,89.64723781771765,9.631067919003833,40842.16811833254,0%
2025-01-02 15:13:00-05:00,126.01125845854051,0.42547548946377217,89.64984436403695,9.633027865328625,40841.95897983424,0%
2025-01-02 15:14:00-05:00,126.25999240395421,0.4233904950252228,89.65245756587892,9.634987933079897,40841.749831775414,0%
2025-01-02 15:15:00-05:00,126.50872621670806,0.4212974949265004,89.65507737409662,9.636948121474454,40841.54067423098,0%
2025-01-02 15:16:00-05:00,126.7574598972949,0.41919652860083584,89.6577037394229,9.638908429287822,40841.33150732305,0%
2025-01-02 15:17:00-05:00,127.00619344577825,0.41708763563594725,89.66033661246075,9.640868855722044,40841.12233112804,0%
2025-01-02 15:18:00-05:00,127.25492686267776,0.41497085576547765,89.66297594369492,9.642829399531571,40840.91314577031,0%
2025-01-02 15:19:00-05:00,127.50366014807567,0.4128462288761016,89.66562168348204,9.644790059902855,40840.703951327916,0%
2025-01-02 15:20:00-05:00,127.75239330239381,0.41071379499992183,89.66827378206105,9.646750835690092,40840.4947479144,0%
2025-01-02 15:21:00-05:00,128.0011263260589,0.4085735943165997,89.67093218954993,9.648711725736327,40840.285535644594,0%
2025-01-02 15:22:00-05:00,128.2498592191886,0.406425667155595,89.67359685594292,9.650672729198375,40840.07631459959,0%
2025-01-02 15:23:00-05:00,128.49859198233565,0.4042700539884852,89.67626773112057,9.65263384480171,40839.86708490668,0%
2025-01-02 15:24:00-05:00,128.7473246156319,0.402106795436139,89.67894476484005,9.65459507168901,40839.657846648544,0%
2025-01-02 15:25:00-05:00,128.99605711964665,0.3999359322599825,89.68162790674683,9.65655640857308,40839.4485999537,0%
2025-01-02 15:26:00-05:00,129.2447894945329,0.39775750536923193,89.68431710636493,9.658517854576756,40839.2393449069,0%
2025-01-02 15:27:00-05:00,129.49352174087596,0.39557155581210185,89.68701231310847,9.660479408395904,40839.03008163849,0%
2025-01-02 15:28:00-05:00,129.7422538588469,0.3933781247830352,89.68971347627208,9.662441069144466,40838.82081023406,0%
2025-01-02 15:29:00-05:00,129.9909858490466,0.3911772536139333,89.69242054504237,9.66440283550582,40838.61153082526,0%
2025-01-02 15:30:00-05:00,130.23971771166154,0.3889689837813955,89.6951334684884,9.666364706575278,40838.40224349963,0%
2025-01-02 15:31:00-05:00,130.4884494472084,0.3867533568989105,89.69785219557173,9.668326681127274,40838.19294837904,0%
2025-01-02 15:32:00-05:00,130.73718105620802,0.3845304147190722,89.70057667514362,9.670288757927635,40837.98364558621,0%
2025-01-02 15:33:00-05:00,130.9859125388716,0.3823001991358135,89.70330685594186,9.672250936059687,40837.77433520994,0%
2025-01-02 15:34:00-05:00,131.23464389584964,0.3800627521765991,89.70604268660108,9.674213214161627,40837.56501738658,0%
2025-01-02 15:35:00-05:00,131.48337512736055,0.3778181160096571,89.70878411564304,9.676175591309647,40837.355692205594,0%
2025-01-02 15:36:00-05:00,131.73210623408104,0.37556633293513847,89.71153109148831,9.678138066125856,40837.146359804996,0%
2025-01-02 15:37:00-05:00,131.98083721624212,0.37330744539239846,89.71428356244652,9.680100637674986,40836.937020275516,0%
2025-01-02 15:38:00-05:00,132.22956807453468,0.37104149595107105,89.71704147672806,9.682063304570443,40836.72767375602,0%
2025-01-02 15:39:00-05:00,132.47829880921077,0.3687685273184343,89.71980478243431,9.684026065858713,40836.51832033908,0%
2025-01-02 15:40:00-05:00,132.72702942097595,0.3664885823304276,89.72257342756934,9.685988920138787,40836.30896016509,0%
2025-01-02 15:41:00-05:00,132.97575991010123,0.3642017039590128,89.72534736003018,9.6879518664489,40836.099593327504,0%
2025-01-02 15:42:00-05:00,133.22449027730465,0.3619079353032045,89.72812652761856,9.689914903380027,40835.890219967514,0%
2025-01-02 15:43:00-05:00,133.47322052287382,0.359607319596429,89.73091087803101,9.691878029951903,40835.680840180525,0%
2025-01-02 15:44:00-05:00,133.72195064743636,0.35729990019854807,89.73370035886943,9.693841244854363,40835.471454097096,0%
2025-01-02 15:45:00-05:00,133.9706806516183,0.3549857205980785,89.73649491763791,9.69580454677474,40835.26206184807,0%
2025-01-02 15:46:00-05:00,134.21941053574412,0.352664824414543,89.73929450173982,9.697767934710809,40835.05266353111,0%
2025-01-02 15:47:00-05:00,134.46814030056106,0.3503372553903404,89.74209905848801,9.699731407232457,40834.843259289555,0%
2025-01-02 15:48:00-05:00,134.7168699464035,0.3480030573982627,89.7449085350952,9.70169496332868,40834.63384922199,0%
